Participant.id_in_session,Participant.code,Participant.label,Participant._is_bot,Participant._index_in_pages,Participant._max_page_index,Participant._current_app_name,Participant._round_number,Participant._current_page_name,Participant.ip_address,Participant.time_started,Participant.exclude_from_data_analysis,Participant.visited,Participant.mturk_worker_id,Participant.mturk_assignment_id,Player.id_in_group,Player.question1_p1,Player.question1_p2,Player.action,Player.opponents,Player.op_actions,Player.player_role,Player.payoff,Group.id_in_subsession,Subsession.round_number,Session.code,Session.label,Session.experimenter_name,Session.time_scheduled,Session.time_started,Session.mturk_HITId,Session.mturk_HITGroupId,Session.comment,Session.is_demo
1,n6zj80ba,,0,140,140,network1,20,ResultsSummary,10.71.223.81,2016-09-18 10:16:17.853118+00:00,0,1,,,1,75,80,1,"[2, 9]","[1, 0]",1,80,1,1,wppnzrsj,,,,,,,,1
2,47yu3fhs,,0,140,140,network1,20,ResultsSummary,10.13.217.57,2016-09-18 10:16:19.390067+00:00,0,1,,,2,75,80,1,"[3, 1]","[1, 1]",0,100,1,1,wppnzrsj,,,,,,,,1
3,pvfol3ln,,0,140,140,network1,20,ResultsSummary,10.111.206.121,2016-09-18 10:16:12.957528+00:00,0,1,,,3,75,65,1,"[4, 2]","[0, 1]",1,100,1,1,wppnzrsj,,,,,,,,1
4,5bu9f5ak,,0,140,140,network1,20,ResultsSummary,10.170.178.66,2016-09-18 10:16:24.008302+00:00,0,1,,,4,75,80,1,"[5, 3]","[0, 1]",1,80,1,1,wppnzrsj,,,,,,,,1
5,lae8sez4,,0,140,140,network1,20,ResultsSummary,10.170.178.66,2016-09-18 10:16:38.517385+00:00,0,1,,,5,75,80,0,"[6, 4]","[0, 0]",1,75,1,1,wppnzrsj,,,,,,,,1
6,zy7uujkq,,0,140,140,network1,20,ResultsSummary,10.238.24.253,2016-09-18 10:16:19.664783+00:00,0,1,,,6,75,80,0,"[7, 5]","[1, 0]",1,75,1,1,wppnzrsj,,,,,,,,1
7,5msqrd8g,,0,140,140,network1,20,ResultsSummary,10.178.230.6,2016-09-18 10:16:19.518373+00:00,0,1,,,7,75,80,1,"[8, 6]","[1, 0]",1,80,1,1,wppnzrsj,,,,,,,,1
8,s14c3qjo,,0,140,140,network1,20,ResultsSummary,10.79.194.218,2016-09-18 10:16:21.675189+00:00,0,1,,,8,90,80,1,"[9, 7]","[0, 1]",0,80,1,1,wppnzrsj,,,,,,,,1
9,c4ej6485,,0,140,140,network1,20,ResultsSummary,10.178.216.75,2016-09-18 10:16:23.625621+00:00,0,1,,,9,75,80,0,"[1, 8]","[1, 1]",0,30,1,1,wppnzrsj,,,,,,,,1
1,n6zj80ba,,0,140,140,network1,20,ResultsSummary,10.71.223.81,2016-09-18 10:16:17.853118+00:00,0,1,,,1,,,0,"[2, 9]","[0, 0]",1,120,1,2,wppnzrsj,,,,,,,,1
